id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 8
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss, 2
81209173, 80236319, 3, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81658459, 81658458, 4, Nak, Nak, Nak, 9
81654990, 81422314, 5, Mr. Queen, Mr. Queen, Mr. Queen, 5
81649878, 81649877, 6, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 8
81655019, 81410834, 7, True Beauty, True Beauty, True Beauty, 6
81664158, 81517188, 8, Alchemy of Souls: Part 2, Alchemy of Souls, Part 2, 12
81517189, 81517188, 9, Alchemy of Souls: Part 1, Alchemy of Souls, Part 1, 36
80236529, 80236319, 10, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
