id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 11
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss, 2
81655019, 81410834, 3, True Beauty, True Beauty, True Beauty, 6
81654990, 81422314, 4, Mr. Queen, Mr. Queen, Mr. Queen, 5
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 6, You: Season 4, You, Season 4, 4
81649878, 81649877, 7, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 8
81212197, 81307163, 8, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
80236529, 80236319, 9, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2, 3
