id, showId, rank, name, showName, seasonName, weeksInTopTen
81209173, 80236319, 1, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 2, You: Season 4, You, Season 4, 5
81212197, 81307163, 3, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81277886, 80991848, 4, Sex/Life: Season 2, Sex/Life, Season 2, 3
81354517, 80236318, 5, Outer Banks: Season 3, Outer Banks, Season 3, 4
81480323, 81480322, 6, Outlast: Season 1, Outlast, Season 1, 1
81341713, 80074249, 7, The Last Kingdom: Season 5, The Last Kingdom, Season 5, 3
80236529, 80236319, 8, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81497818, 81497817, 9, Perfect Match: Season 1, Perfect Match, Season 1, 5
80236116, 70285581, 10, Outlander: Season 6, Outlander, Season 6, 2
