id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 3
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
80226859, 80211991, 3, You: Season 4, You, Season 4, 4
81277886, 80991848, 4, Sex/Life: Season 2, Sex/Life, Season 2, 3
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
80236529, 80236319, 6, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3, 4
81317563, 81317562, 8, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81497818, 81497817, 9, Perfect Match: Season 1, Perfect Match, Season 1, 5
81655019, 81410834, 10, True Beauty, True Beauty, True Beauty, 4
