id, showId, rank, name, showName, seasonName, weeksInTopTen
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1, 12
81594876, 81594875, 2, Unlock My Boss, Unlock My Boss, Unlock My Boss, 2
81649878, 81649877, 3, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1, 9
81493079, 81493078, 4, In the Name of God: A Holy Betrayal: Season 1, In the Name of God: A Holy Betrayal, Season 1, 2
81552616, 81552615, 5, Taxi Driver, Taxi Driver, Taxi Driver, 12
81654990, 81422314, 6, Mr. Queen, Mr. Queen, Mr. Queen, 5
81212197, 81307163, 7, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty, 6
81209173, 80236319, 9, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2, 3
