id, showId, rank, name, showName, seasonName, weeksInTopTen
80226859, 80211991, 1, You: Season 4, You, Season 4, 5
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1, 3
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
81277886, 80991848, 5, Sex/Life: Season 2, Sex/Life, Season 2, 3
81480323, 81480322, 6, Outlast: Season 1, Outlast, Season 1, 1
80236529, 80236319, 7, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81666383, 81228402, 8, Below Deck, Below Deck, Below Deck, 1
81354517, 80236318, 9, Outer Banks: Season 3, Outer Banks, Season 3, 4
81497818, 81497817, 10, Perfect Match: Season 1, Perfect Match, Season 1, 5
