id, showId, rank, name, showName, seasonName, weeksInTopTen
80226859, 80211991, 1, You: Season 4, You, Season 4, 5
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2, 1
81519224, 81519223, 3, The Glory: Season 1, The Glory, Season 1, 2
81277886, 80991848, 4, Sex/Life: Season 2, Sex/Life, Season 2, 3
81481492, 81478080, 5, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2, 3
81354517, 80236318, 6, Outer Banks: Season 3, Outer Banks, Season 3, 4
81317563, 81317562, 7, Sky High: The Series: Season 1, Sky High: The Series, Season 1, 1
81212197, 81307163, 8, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series, 2
80236529, 80236319, 9, Shadow and Bone: Season 1, Shadow and Bone, Season 1, 1
81001045, 80991848, 10, Sex/Life: Season 1, Sex/Life, Season 1, 9
