id, showId, rank, name, showName, seasonName
80226859, 80211991, 1, You: Season 4, You, Season 4
81209173, 80236319, 2, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81277886, 80991848, 3, Sex/Life: Season 2, Sex/Life, Season 2
81354517, 80236318, 4, Outer Banks: Season 3, Outer Banks, Season 3
81212197, 81307163, 5, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81519224, 81519223, 6, The Glory: Season 1, The Glory, Season 1
81480323, 81480322, 7, Outlast: Season 1, Outlast, Season 1
80236529, 80236319, 8, Shadow and Bone: Season 1, Shadow and Bone, Season 1
81497818, 81497817, 9, Perfect Match: Season 1, Perfect Match, Season 1
81234801, 81026300, 10, Next in Fashion: Season 2, Next in Fashion, Season 2
