id, showId, rank, name, showName, seasonName
81313284, 81313283, 1, Rana Naidu: Season 1, Rana Naidu, Season 1
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 3, Shadow and Bone: Season 2, Shadow and Bone, Season 2
80226859, 80211991, 4, You: Season 4, You, Season 4
81231975, 81231974, 5, Wednesday: Season 1, Wednesday, Season 1
81212197, 81307163, 6, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81277886, 80991848, 7, Sex/Life: Season 2, Sex/Life, Season 2
81001045, 80991848, 8, Sex/Life: Season 1, Sex/Life, Season 1
81229407, 81229406, 9, Class: Season 1, Class, Season 1
81655019, 81410834, 10, True Beauty, True Beauty, True Beauty
