id, showId, rank, name, showName, seasonName
80226859, 80211991, 1, You: Season 4, You, Season 4
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1
81209173, 80236319, 3, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81277886, 80991848, 5, Sex/Life: Season 2, Sex/Life, Season 2
81341713, 80074249, 6, The Last Kingdom: Season 5, The Last Kingdom, Season 5
81354517, 80236318, 7, Outer Banks: Season 3, Outer Banks, Season 3
81481492, 81478080, 8, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81317563, 81317562, 9, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81644788, 81644787, 10, Maestro in Blue: Season 1, Maestro in Blue, Season 1
