id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81341713, 80074249, 2, The Last Kingdom: Season 5, The Last Kingdom, Season 5
80226859, 80211991, 3, You: Season 4, You, Season 4
81354517, 80236318, 4, Outer Banks: Season 3, Outer Banks, Season 3
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81655019, 81410834, 6, True Beauty, True Beauty, True Beauty
81317563, 81317562, 7, Sky High: The Series: Season 1, Sky High: The Series, Season 1
81481492, 81478080, 8, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
81212197, 81307163, 9, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81277886, 80991848, 10, Sex/Life: Season 2, Sex/Life, Season 2
