id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81341713, 80074249, 2, The Last Kingdom: Season 5, The Last Kingdom, Season 5
80226859, 80211991, 3, You: Season 4, You, Season 4
81655019, 81410834, 4, True Beauty, True Beauty, True Beauty
81635094, 81635086, 5, Maktoub Aalia: Season 1, Maktoub Aalia, Season 1
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81654990, 81422314, 7, Mr. Queen, Mr. Queen, Mr. Queen
81329848, 81438813, 8, Masameer County: Season 2, Masameer County, Season 2
81649878, 81649877, 9, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81481492, 81478080, 10, Wrong Side of the Tracks: Season 2, Wrong Side of the Tracks, Season 2
