id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81313284, 81313283, 2, Rana Naidu: Season 1, Rana Naidu, Season 1
80226859, 80211991, 3, You: Season 4, You, Season 4
81212197, 81307163, 4, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81209173, 80236319, 5, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81341713, 80074249, 6, The Last Kingdom: Season 5, The Last Kingdom, Season 5
81277886, 80991848, 7, Sex/Life: Season 2, Sex/Life, Season 2
81655019, 81410834, 8, True Beauty, True Beauty, True Beauty
81654990, 81422314, 9, Mr. Queen, Mr. Queen, Mr. Queen
81594876, 81594875, 10, Unlock My Boss, Unlock My Boss, Unlock My Boss
